x	y	z	t	c	intensity
185.6478	54.5087	2.4590	1	1	199.7918
136.1727	86.1336	3.0019	1	1	199.3021
217.3955	170.2166	5.1099	1	1	210.1374
99.1500	204.3488	6.5119	1	1	209.9678
91.7255	201.9548	7.2301	1	1	209.3761
199.1168	27.3363	9.9823	1	1	204.9495
85.9878	177.3053	9.9531	1	1	213.4684
60.0190	39.2621	13.5961	1	1	204.5795
72.9331	234.8885	14.4823	1	1	205.3635
24.2493	209.2866	12.8093	1	1	213.7773
165.1321	66.6735	14.2160	1	1	207.4739
42.0431	80.9685	14.6662	1	1	209.0328
45.9221	32.4105	17.1599	1	1	207.1244
249.1446	72.4616	16.2130	1	1	208.2391
246.0201	157.0629	15.7205	1	1	214.9424
41.3940	80.6312	16.6925	1	1	214.5318
43.9020	245.2309	18.0126	1	1	209.9986
209.4820	92.3114	19.5093	1	1	216.1621
44.1642	181.0919	19.6321	1	1	215.2943
52.9718	191.5155	20.0598	1	1	218.0507
91.3758	246.7148	20.9404	1	1	213.6531
58.3194	75.6051	21.5644	1	1	210.9506
105.0583	166.7988	20.6166	1	1	215.5448
163.2435	136.7443	21.7058	1	1	216.8558
246.5063	196.1688	21.9624	1	1	216.1248
36.3049	250.3322	21.8332	1	1	211.8163
199.6997	222.4112	21.8913	1	1	215.9232
247.0285	196.1459	22.9153	1	1	217.3454
61.7373	106.9944	25.0924	1	1	210.9017
91.1513	246.8091	23.6299	1	1	214.7040
120.2653	107.4773	26.3066	1	1	214.3213
133.2655	131.8399	31.2694	1	1	159.6961
228.3123	237.1995	29.8372	1	1	215.5146
