x	y	z	t	c	intensity
124.9129	188.1229	6.0347	1	1	210.7995
222.6689	67.0768	8.4844	1	1	205.8411
111.9938	127.2851	8.7828	1	1	208.8053
247.1375	183.2301	8.5056	1	1	204.8106
47.7948	129.5941	10.0388	1	1	208.4556
49.8369	13.6293	11.2547	1	1	207.4601
172.0562	225.8387	10.9960	1	1	209.0339
233.6421	23.0746	12.1409	1	1	212.7496
17.3026	63.7817	13.4603	1	1	204.7485
172.1882	227.4432	11.7512	1	1	203.6360
237.6022	54.8313	13.9110	1	1	207.4962
125.9022	15.9716	16.2239	1	1	209.2551
188.8470	17.6900	15.6184	1	1	208.1957
187.6286	77.5707	16.1215	1	1	209.4267
38.7744	109.8327	16.0920	1	1	208.8993
222.0411	33.0460	17.1035	1	1	212.7378
187.3724	76.6635	17.4155	1	1	206.4906
38.0463	109.8140	17.9962	1	1	209.4005
8.7571	132.1249	17.2921	1	1	203.6372
144.0000	169.4190	17.7781	1	1	208.3142
72.1035	90.6486	19.5139	1	1	204.2668
63.8008	125.2519	18.5087	1	1	206.0868
144.9370	64.0220	19.9441	1	1	212.8917
105.3704	109.5768	20.2930	1	1	207.6215
9.1362	131.2680	20.0112	1	1	208.1465
143.8585	170.8717	19.6466	1	1	208.3322
145.0404	197.5024	20.4125	1	1	205.8580
72.8468	88.0994	20.6482	1	1	206.9229
144.9724	198.8968	21.8473	1	1	208.8525
44.8802	66.0695	23.1018	1	1	207.5293
10.2929	110.0051	23.9203	1	1	207.9378
