x	y	z	t	c	intensity
222.6059	71.7783	2.0282	1	1	202.8096
124.5901	187.7733	4.3628	1	1	205.9607
124.9129	188.1229	6.0347	1	1	210.3287
47.8103	129.2222	7.3574	1	1	203.8378
8.5506	170.5594	7.9495	1	1	205.3372
222.5834	66.9346	8.3264	1	1	204.8076
131.4057	89.9496	8.9906	1	1	201.1438
111.9110	127.1644	8.6177	1	1	207.4293
47.7806	129.6381	10.1902	1	1	206.9463
49.8369	13.6293	11.2547	1	1	206.2743
6.5588	170.5926	10.8173	1	1	204.1663
171.9599	225.4802	10.8401	1	1	205.8130
233.6421	23.0746	12.1409	1	1	211.4424
232.9311	23.7406	13.5240	1	1	204.1259
9.8240	173.9596	15.0563	1	1	202.0050
125.9289	15.6965	16.1051	1	1	207.4150
188.8901	17.5533	15.6671	1	1	206.4776
236.6574	54.6025	15.3797	1	1	202.8967
187.6510	77.3744	16.0271	1	1	208.9184
38.6403	109.8109	16.0681	1	1	206.8416
246.7998	68.3890	17.1224	1	1	204.0201
222.0314	33.1456	17.1412	1	1	209.9775
187.4894	76.5890	17.4633	1	1	204.1717
37.8055	109.6810	17.9923	1	1	206.2302
144.0000	169.4190	17.7781	1	1	206.2347
144.9299	64.1089	19.9186	1	1	209.7030
105.2903	109.3423	20.4603	1	1	204.6826
9.1362	131.2680	20.0112	1	1	205.7611
143.7103	170.8877	19.8179	1	1	206.3176
144.6933	199.0907	21.7685	1	1	205.2762
10.2568	110.1155	24.0264	1	1	205.3306
78.8771	52.9516	24.9935	1	1	201.7597
