x	y	z	t	c	intensity
113.1508	145.1592	6.2364	1	1	205.5941
125.0733	188.3386	5.9945	1	1	210.0188
222.3963	67.5009	7.9930	1	1	205.1871
48.3126	129.3582	7.8946	1	1	203.6626
223.0232	67.5647	9.5733	1	1	204.9949
112.1299	127.9379	9.1690	1	1	206.2990
247.5878	183.3837	9.0989	1	1	206.7522
147.1733	79.4363	9.9301	1	1	203.5004
48.2892	129.7406	10.1288	1	1	207.0002
50.7284	14.1399	11.1084	1	1	203.3382
233.5267	23.1731	12.5695	1	1	207.9768
245.8544	186.6113	13.1381	1	1	205.5169
172.3852	227.5213	13.6133	1	1	202.1969
237.3083	54.9758	14.2490	1	1	205.0274
125.9983	16.1482	16.8159	1	1	206.7649
44.1971	76.8056	16.7273	1	1	204.4284
188.3915	77.8788	16.6147	1	1	205.6014
247.1541	68.4115	17.2257	1	1	205.2635
222.4740	33.2188	17.1957	1	1	207.8125
9.3768	132.3981	18.7082	1	1	205.0185
145.0326	64.4695	20.0399	1	1	209.5211
9.3854	131.6102	20.4281	1	1	204.1973
105.2329	109.9438	20.2765	1	1	207.9454
145.1528	197.9387	20.1400	1	1	204.3172
72.9894	88.4596	20.9161	1	1	206.2345
45.1078	66.0787	23.4375	1	1	204.8257
10.4917	110.1039	24.3663	1	1	205.5886
