x	y	z	t	c	intensity
124.5901	187.7733	4.3628	1	1	206.2350
124.9129	188.1229	6.0347	1	1	210.6476
47.8103	129.2222	7.3574	1	1	204.1919
8.5506	170.5594	7.9495	1	1	205.7071
222.7561	66.9050	8.5057	1	1	205.5861
111.9987	127.4098	9.0172	1	1	208.4746
47.7806	129.6381	10.1902	1	1	207.3759
49.8369	13.6293	11.2547	1	1	206.7323
233.6421	23.0746	12.1409	1	1	211.9240
233.1082	23.7402	13.5241	1	1	204.6129
126.0446	16.2023	16.1477	1	1	208.0113
188.8901	17.5533	15.6671	1	1	207.0532
187.6510	77.3744	16.0271	1	1	209.5036
236.6574	54.6025	15.3797	1	1	203.4646
38.6403	109.8109	16.0681	1	1	207.4278
246.7998	68.3890	17.1224	1	1	204.6344
222.0314	33.1456	17.1412	1	1	210.5923
187.4894	76.5890	17.4633	1	1	204.7951
38.1792	109.9617	17.9020	1	1	207.2560
144.0000	169.4190	17.7781	1	1	206.8666
144.9299	64.1089	19.9186	1	1	210.3919
105.2903	109.3423	20.4603	1	1	205.3859
143.7103	170.8877	19.8179	1	1	207.0037
9.1362	131.2680	20.0112	1	1	206.4525
144.8433	199.2107	21.8309	1	1	206.3299
10.2568	110.1155	24.0264	1	1	206.1289
171.9599	225.4802	10.8401	1	1	206.2599
6.5588	170.5926	10.8173	1	1	204.6126
