x	y	z	t	c	intensity
113.2464	146.2207	6.2309	1	1	206.3438
124.9236	188.1107	6.1125	1	1	210.4324
221.0647	66.9915	7.4879	1	1	209.2066
222.7561	66.9050	8.5057	1	1	206.0470
112.0022	127.2654	8.6891	1	1	208.5515
248.0459	183.3345	8.7249	1	1	208.1783
47.7533	129.4153	10.6133	1	1	206.7197
49.8270	13.6697	11.1947	1	1	207.6405
171.9121	226.3981	10.5887	1	1	207.0987
233.6070	23.1349	12.2642	1	1	211.4282
17.2180	63.6953	13.3272	1	1	205.5088
172.1798	227.4055	14.5995	1	1	201.3163
246.1061	186.8921	12.8298	1	1	206.7612
237.6959	54.8489	13.8165	1	1	207.9755
126.6106	16.3839	17.6819	1	1	206.2013
44.5492	76.9753	16.2225	1	1	209.8394
187.6933	77.3327	16.0323	1	1	211.1245
38.6545	109.8226	16.0929	1	1	208.8504
222.4670	33.2500	16.8811	1	1	209.2025
187.6139	77.8453	17.3554	1	1	206.2025
38.9988	111.0357	17.9037	1	1	208.0488
9.5410	132.4094	19.0334	1	1	206.6803
144.5826	171.0975	18.9745	1	1	209.0260
72.7287	90.9014	19.1473	1	1	207.3448
64.5488	124.5678	18.5657	1	1	205.6727
144.8885	63.9938	19.9781	1	1	213.1068
105.1108	109.3855	20.4572	1	1	207.8682
9.0018	131.3427	20.0232	1	1	208.3431
143.7103	170.8877	19.8179	1	1	208.8921
145.1640	198.5944	20.2704	1	1	204.6612
72.8407	88.4664	20.5982	1	1	207.1046
144.6972	199.0460	21.7521	1	1	208.2364
45.7008	65.6067	23.4804	1	1	207.4479
10.3710	110.1986	24.0901	1	1	208.0549
