x	y	z	t	c	intensity
113.1889	145.8699	6.2598	1	1	206.8366
124.7401	188.2684	5.9125	1	1	209.4075
222.5758	67.0441	8.1315	1	1	205.5792
222.6653	67.6136	8.7247	1	1	207.4739
112.2786	127.8384	9.1694	1	1	206.9953
248.1143	183.6584	8.7745	1	1	206.9425
47.9294	129.7054	10.0923	1	1	208.5268
51.2584	14.3495	11.2137	1	1	202.7964
172.2688	225.7636	11.0253	1	1	208.2157
233.6820	23.2783	12.2786	1	1	210.8000
17.6255	64.2030	13.5318	1	1	204.8248
245.8018	186.8629	13.0680	1	1	205.7579
172.8191	227.1922	12.6767	1	1	205.3877
237.6284	54.9380	13.8322	1	1	207.7726
126.0867	16.2943	16.7639	1	1	206.5484
189.3667	17.8373	15.8360	1	1	207.5101
44.2661	76.8076	16.3879	1	1	207.6539
187.9699	77.7172	16.6116	1	1	206.7604
39.0027	110.0702	16.0863	1	1	209.2552
222.4013	33.1972	17.3868	1	1	208.6143
187.7331	77.9120	17.7171	1	1	206.2236
37.9962	109.6457	18.3748	1	1	207.6856
9.2938	132.4727	18.9706	1	1	206.9749
144.3679	171.2130	18.8597	1	1	207.1521
64.5103	125.9815	18.8013	1	1	203.6248
145.1680	64.2189	20.2004	1	1	210.0887
9.5379	131.5873	20.3463	1	1	205.6396
105.3343	109.7706	20.3601	1	1	208.2472
145.3102	198.0088	20.2220	1	1	205.3825
73.0771	88.6562	20.8603	1	1	206.8179
144.7695	199.2300	22.0348	1	1	208.3933
45.1233	65.9695	23.1324	1	1	207.6645
10.4525	110.0961	24.5850	1	1	206.7316
