x	y	z	t	c	intensity
113.2931	145.9819	6.1984	1	1	206.9429
124.8556	188.0701	6.1309	1	1	210.2634
222.6732	67.7890	8.8230	1	1	208.5273
112.4807	128.0956	9.3940	1	1	206.5768
248.0731	183.4798	8.8484	1	1	207.7310
47.9144	129.5995	10.3294	1	1	207.7049
49.7137	14.1460	10.8971	1	1	207.7547
233.7483	23.2484	12.2827	1	1	211.4055
172.0000	226.2863	10.7939	1	1	208.4011
17.7273	64.9441	13.5362	1	1	207.2755
173.0110	227.3046	12.6053	1	1	205.7397
245.9793	186.9172	12.7824	1	1	206.9548
237.6284	54.9380	13.8322	1	1	208.1135
125.9078	16.1125	16.3689	1	1	209.2059
44.4513	76.9536	16.3147	1	1	209.3292
188.9931	78.2056	16.3588	1	1	208.0251
38.8122	109.9183	16.1483	1	1	209.5663
222.4158	33.0770	17.0135	1	1	210.2914
38.8311	110.8761	17.9824	1	1	207.8036
187.6356	77.7011	17.4632	1	1	206.7623
9.5383	132.4096	18.9643	1	1	207.0167
144.5422	171.1050	19.0342	1	1	209.1832
72.8866	90.7961	19.0894	1	1	208.0926
144.9716	63.9970	20.1021	1	1	213.5094
105.2053	109.5450	20.4484	1	1	208.4387
9.3825	131.6389	20.3477	1	1	206.0981
144.9846	198.3856	20.5026	1	1	204.6192
73.0373	88.5594	20.8051	1	1	207.6894
144.8266	198.7345	21.8475	1	1	208.5313
44.5382	66.5753	23.2473	1	1	207.0454
10.3927	110.2963	24.1274	1	1	208.4385
