x	y	z	t	c	intensity
124.9129	188.1229	6.0347	1	1	210.7995
222.6689	67.0768	8.4844	1	1	205.8806
111.9938	127.2851	8.7828	1	1	208.8495
247.1375	183.2301	8.5056	1	1	204.8504
47.7948	129.5941	10.0388	1	1	208.5201
49.8369	13.6293	11.2547	1	1	207.5442
172.0562	225.8387	10.9960	1	1	209.1138
233.6421	23.0746	12.1409	1	1	212.8480
125.9022	15.9716	16.2239	1	1	209.4192
188.8470	17.6900	15.6184	1	1	208.3501
187.6286	77.5707	16.1215	1	1	209.5891
38.7744	109.8327	16.0920	1	1	209.0612
222.0411	33.0460	17.1035	1	1	212.9160
187.3724	76.6635	17.4155	1	1	206.6738
38.0463	109.8140	17.9962	1	1	209.5931
63.8008	125.2519	18.5087	1	1	206.2876
144.9370	64.0220	19.9441	1	1	213.1156
105.3704	109.5768	20.2930	1	1	207.8511
9.1362	131.2680	20.0112	1	1	208.3716
143.8585	170.8717	19.6466	1	1	208.5513
145.0404	197.5024	20.4125	1	1	206.0895
72.8468	88.0994	20.6482	1	1	207.1582
144.9724	198.8968	21.8473	1	1	209.1071
44.8802	66.0695	23.1018	1	1	207.8041
10.2929	110.0051	23.9203	1	1	208.2258
