x	y	z	t	c	intensity
124.9129	188.1229	6.0347	1	1	210.7995
222.6689	67.0768	8.4844	1	1	205.8434
111.9938	127.2851	8.7828	1	1	208.8078
247.1375	183.2301	8.5056	1	1	204.8129
47.7948	129.5941	10.0388	1	1	208.4593
49.8369	13.6293	11.2547	1	1	207.4649
172.0562	225.8387	10.9960	1	1	209.0385
233.6421	23.0746	12.1409	1	1	212.7552
17.3026	63.7817	13.4603	1	1	204.7553
172.1882	227.4432	11.7512	1	1	203.6413
237.6022	54.8313	13.9110	1	1	207.5034
125.9022	15.9716	16.2239	1	1	209.2645
188.8470	17.6900	15.6184	1	1	208.2045
187.9173	77.9275	16.3124	1	1	206.7828
38.7744	109.8327	16.0920	1	1	208.9085
222.0411	33.0460	17.1035	1	1	212.7479
187.3724	76.6635	17.4155	1	1	206.5010
38.0463	109.8140	17.9962	1	1	209.4114
8.7571	132.1249	17.2921	1	1	203.6475
144.0000	169.4190	17.7781	1	1	208.3250
72.1035	90.6486	19.5139	1	1	204.2792
63.8008	125.2519	18.5087	1	1	206.0982
144.9370	64.0220	19.9441	1	1	212.9044
105.3704	109.5768	20.2930	1	1	207.6346
9.1362	131.2680	20.0112	1	1	208.1594
145.0404	197.5024	20.4125	1	1	205.8712
143.8585	170.8717	19.6466	1	1	208.3446
72.8468	88.0994	20.6482	1	1	206.9363
144.9724	198.8968	21.8473	1	1	208.8670
44.8802	66.0695	23.1018	1	1	207.5449
10.2929	110.0051	23.9203	1	1	207.9542
