x	y	z	t	c	intensity
113.3664	145.1665	5.8509	1	1	205.9502
124.9129	188.1229	6.0347	1	1	210.7962
221.7885	67.4697	7.3586	1	1	205.6306
222.6689	67.0768	8.4844	1	1	205.7467
112.0792	127.1456	8.7425	1	1	208.6416
247.2645	183.2047	8.6423	1	1	205.6736
47.7948	129.5941	10.0388	1	1	208.3033
49.9335	13.5656	11.1250	1	1	207.3325
172.0562	225.8387	10.9960	1	1	208.8461
233.6421	23.0746	12.1409	1	1	212.5192
17.4651	63.9241	13.3897	1	1	204.5456
237.3956	54.7392	13.8807	1	1	206.3737
125.9022	15.9716	16.2239	1	1	208.8727
188.6658	17.7359	15.6969	1	1	207.8753
187.8747	77.6737	16.1608	1	1	208.2649
38.7744	109.8327	16.0920	1	1	208.5218
222.1218	33.1034	17.0069	1	1	211.8829
187.4006	76.8474	17.4989	1	1	206.7586
38.0463	109.8140	17.9962	1	1	208.9521
8.6857	131.9448	17.4886	1	1	203.5130
144.0427	169.8821	17.5181	1	1	204.7089
63.9152	125.1477	18.5990	1	1	206.0462
144.9370	64.0220	19.9441	1	1	212.3708
105.3346	109.7643	20.2709	1	1	207.8141
9.1362	131.2680	20.0112	1	1	207.6232
143.8585	170.8717	19.6466	1	1	207.8224
144.9247	197.5386	20.3056	1	1	205.2938
72.8468	88.0994	20.6482	1	1	206.3759
144.9724	198.8968	21.8473	1	1	208.2608
45.0724	65.9170	23.0539	1	1	207.4112
10.2486	109.9388	23.8035	1	1	207.0596
