x	y	z	t	c	intensity
124.8915	188.4800	4.2684	1	1	205.3232
113.1440	145.0320	6.2101	1	1	205.3792
125.1406	188.3057	5.9863	1	1	209.8186
48.1189	129.1843	7.9618	1	1	204.1606
112.0967	127.7360	9.0571	1	1	207.1061
247.6163	183.4941	8.9255	1	1	206.9383
48.1366	129.8132	10.1807	1	1	207.6495
50.6952	14.1971	11.0832	1	1	203.5237
172.0062	226.9082	11.0294	1	1	204.2780
233.5277	23.1844	12.6976	1	1	206.9999
17.6712	64.1664	13.6837	1	1	204.1293
245.8414	186.7626	13.1078	1	1	205.4909
172.2285	227.5414	13.9205	1	1	200.4860
237.3665	55.1149	14.2762	1	1	205.2238
126.2550	16.9959	16.1867	1	1	206.0221
44.1948	76.8491	16.6342	1	1	205.2494
188.4099	77.8717	16.5375	1	1	205.9598
237.9842	54.9993	15.5117	1	1	204.5598
247.1635	68.3522	17.4281	1	1	204.9984
222.3891	33.2477	17.2415	1	1	208.2709
9.4163	132.3806	18.9728	1	1	205.7404
145.0250	64.5249	20.1140	1	1	208.9669
105.3047	109.8775	20.2524	1	1	207.9145
9.5515	131.5275	20.3318	1	1	204.9055
145.1528	197.9387	20.1400	1	1	204.5026
72.9249	88.4018	20.7438	1	1	206.2734
45.1169	66.1471	23.3608	1	1	205.4541
10.4696	110.0466	24.3989	1	1	205.8767
