x	y	z	t	c	intensity
113.2611	145.9294	6.4184	1	1	206.8535
125.0265	188.1620	6.0854	1	1	210.5285
248.0731	183.4798	8.8484	1	1	207.7428
47.9109	129.6620	10.2687	1	1	207.9881
233.7483	23.2484	12.2827	1	1	211.4285
172.0000	226.2863	10.7939	1	1	208.4193
17.7273	64.9441	13.5362	1	1	207.3026
245.9793	186.9172	12.7824	1	1	206.9794
172.6456	226.9564	12.6867	1	1	205.4737
232.7430	24.0146	13.5579	1	1	207.0115
237.6284	54.9380	13.8322	1	1	208.1416
44.4513	76.9536	16.3147	1	1	209.3653
237.9670	54.6753	15.6150	1	1	205.8138
247.4643	68.1737	17.2606	1	1	205.7209
222.3041	33.0691	17.3672	1	1	209.8909
38.8311	110.8761	17.9824	1	1	207.8452
9.5383	132.4096	18.9643	1	1	207.0614
144.9716	63.9970	20.1021	1	1	213.5579
9.3825	131.6389	20.3477	1	1	206.1474
105.2634	109.5704	20.3925	1	1	208.4047
73.0373	88.5594	20.8051	1	1	207.7401
46.0020	67.4838	21.7245	1	1	206.5828
144.7400	199.0400	21.9091	1	1	209.5023
44.5382	66.5753	23.2473	1	1	207.1040
10.3927	110.2963	24.1274	1	1	208.5000
