x	y	z	t	c	intensity
222.6059	71.7783	2.0282	1	1	202.8096
124.5901	187.7733	4.3628	1	1	205.9723
124.9129	188.1229	6.0347	1	1	210.3486
47.8103	129.2222	7.3574	1	1	203.8643
8.5506	170.5594	7.9495	1	1	205.3667
131.4057	89.9496	8.9906	1	1	201.1784
222.7561	66.9050	8.5057	1	1	205.2336
111.9110	127.1644	8.6177	1	1	207.4621
47.7806	129.6381	10.1902	1	1	206.9868
49.8369	13.6293	11.2547	1	1	206.3201
6.5588	170.5926	10.8173	1	1	204.2100
172.0530	226.1463	11.2853	1	1	207.0245
233.6421	23.0746	12.1409	1	1	211.4926
233.1082	23.7402	13.5241	1	1	204.1515
9.8240	173.9596	15.0563	1	1	202.0697
125.9289	15.6965	16.1051	1	1	207.4849
188.8232	17.8099	15.6001	1	1	206.5352
236.6574	54.6025	15.3797	1	1	202.9630
187.6510	77.3744	16.0271	1	1	208.9880
38.6403	109.8109	16.0681	1	1	206.9114
246.7998	68.3890	17.1224	1	1	204.0951
222.0314	33.1456	17.1412	1	1	210.0526
187.5891	77.4872	17.6078	1	1	204.5721
37.8055	109.6810	17.9923	1	1	206.3096
144.0000	169.4190	17.7781	1	1	206.3130
144.9299	64.1089	19.9186	1	1	209.7919
105.2903	109.3423	20.4603	1	1	204.7742
9.1362	131.2680	20.0112	1	1	205.8505
143.7103	170.8877	19.8179	1	1	206.4060
144.6933	199.0907	21.7685	1	1	205.3743
10.2568	110.1155	24.0264	1	1	205.4399
78.8771	52.9516	24.9935	1	1	201.8738
