x	y	z	t	c	intensity
124.5901	187.7733	4.3628	1	1	206.2350
124.9129	188.1229	6.0347	1	1	210.6502
47.8103	129.2222	7.3574	1	1	204.1967
8.5506	170.5594	7.9495	1	1	205.7129
222.6708	67.0702	8.4350	1	1	205.4046
111.9987	127.4098	9.0172	1	1	208.4821
47.7806	129.6381	10.1902	1	1	207.3852
49.8369	13.6293	11.2547	1	1	206.7433
6.5588	170.5926	10.8173	1	1	204.6229
171.9599	225.4802	10.8401	1	1	206.2702
233.6421	23.0746	12.1409	1	1	211.9364
232.9311	23.7406	13.5240	1	1	204.6590
125.9289	15.6965	16.1051	1	1	208.0210
188.8232	17.8099	15.6001	1	1	207.0595
187.6510	77.3744	16.0271	1	1	209.5222
236.6574	54.6025	15.3797	1	1	203.4822
38.6403	109.8109	16.0681	1	1	207.4466
246.7998	68.3890	17.1224	1	1	204.6548
222.0314	33.1456	17.1412	1	1	210.6128
187.4894	76.5890	17.4633	1	1	204.8161
37.8055	109.6810	17.9923	1	1	206.8896
144.0000	169.4190	17.7781	1	1	206.8880
144.8747	63.9738	19.8761	1	1	209.9645
105.3536	109.6245	20.3674	1	1	206.0570
9.1362	131.2680	20.0112	1	1	206.4775
143.7103	170.8877	19.8179	1	1	207.0285
144.6933	199.0907	21.7685	1	1	206.0422
10.2568	110.1155	24.0264	1	1	206.1604
