x	y	z	t	c	intensity
124.9129	188.1229	6.0347	1	1	210.7995
222.1878	67.6686	7.4890	1	1	205.2478
222.5834	66.9346	8.3264	1	1	205.5174
111.9805	127.1906	8.9736	1	1	209.8286
246.7601	183.3962	8.1522	1	1	203.0911
47.7806	129.6381	10.1902	1	1	207.8505
49.8369	13.6293	11.2547	1	1	207.2895
172.0530	226.1463	11.2853	1	1	207.9970
233.6421	23.0746	12.1409	1	1	212.5501
17.3031	63.5388	13.4141	1	1	204.8147
172.3407	227.0918	14.9154	1	1	201.3964
125.9289	15.6965	16.1051	1	1	208.9362
188.8901	17.5533	15.6671	1	1	207.9531
187.6510	77.3744	16.0271	1	1	210.4315
38.6403	109.8109	16.0681	1	1	208.3589
222.0314	33.1456	17.1412	1	1	211.6067
187.4894	76.5890	17.4633	1	1	205.8345
8.8638	131.8424	17.3313	1	1	203.4030
37.8055	109.6810	17.9923	1	1	207.9482
144.0000	169.4190	17.7781	1	1	207.9304
63.3770	125.1866	18.5220	1	1	205.7126
144.9299	64.1089	19.9186	1	1	211.6220
105.2903	109.3423	20.4603	1	1	206.6580
9.1362	131.2680	20.0112	1	1	207.6897
143.7103	170.8877	19.8179	1	1	208.2260
144.5779	197.9561	20.3309	1	1	204.4616
73.3890	88.3759	20.9101	1	1	206.7330
144.8433	199.2107	21.8309	1	1	207.7084
45.5456	65.5739	23.3160	1	1	206.7531
10.2568	110.1155	24.0264	1	1	207.6780
