x	y	z	t	c	intensity
113.0018	145.3887	6.3411	1	1	205.8929
125.1406	188.3057	5.9863	1	1	209.8847
222.0294	66.8421	7.7715	1	1	204.8863
223.0225	67.6989	9.5413	1	1	205.4157
112.1227	127.8668	9.1324	1	1	206.7176
247.6968	183.5308	8.9704	1	1	207.2887
48.1366	129.8132	10.1807	1	1	207.8511
50.7797	14.0982	11.1440	1	1	203.4159
172.0062	226.9082	11.0294	1	1	204.5071
233.5713	23.1690	12.6307	1	1	208.0478
17.7595	64.4717	13.6473	1	1	205.4193
245.8414	186.7626	13.1078	1	1	205.7871
172.7537	227.1850	12.5867	1	1	204.8822
237.2660	55.0717	14.2351	1	1	205.2308
125.9752	16.0825	16.9054	1	1	207.5242
188.9101	18.2527	16.2863	1	1	205.8845
44.1948	76.8491	16.6342	1	1	205.6596
188.4099	77.8717	16.5375	1	1	206.3668
39.0946	110.1757	16.2111	1	1	207.4729
222.3891	33.2477	17.2415	1	1	208.7007
187.6822	77.4212	17.7065	1	1	206.0781
38.9326	110.1674	18.1454	1	1	204.3208
9.3768	132.3981	18.7082	1	1	205.6555
144.0231	171.0542	18.8498	1	1	206.3839
72.3724	90.8061	19.7328	1	1	203.6280
65.0865	125.5550	19.5642	1	1	203.2517
145.0250	64.5249	20.1140	1	1	209.4895
105.3047	109.8775	20.2524	1	1	208.4415
9.5515	131.5275	20.3318	1	1	205.4351
145.1528	197.9387	20.1400	1	1	205.0260
72.9396	88.3973	20.9468	1	1	207.1329
144.8547	199.0662	22.1516	1	1	208.0988
45.0184	66.2525	23.2929	1	1	206.2376
10.4696	110.0466	24.3989	1	1	206.5377
