x	y	z	t	c	intensity
113.1508	145.1592	6.2364	1	1	205.6100
125.0733	188.3386	5.9945	1	1	210.0188
222.2585	67.2143	8.2719	1	1	205.2583
222.9310	67.5980	9.5976	1	1	205.1027
112.1299	127.9379	9.1690	1	1	206.5075
247.5194	183.3629	8.9833	1	1	207.1792
48.2892	129.7406	10.1288	1	1	207.2717
50.7284	14.1399	11.1084	1	1	203.6741
172.0062	226.9082	11.0294	1	1	204.5855
233.5267	23.1731	12.5695	1	1	208.4087
17.7159	64.4280	13.5074	1	1	205.4054
245.8544	186.6113	13.1381	1	1	205.9861
172.6625	227.3279	12.9369	1	1	206.3963
237.3130	55.1885	14.4747	1	1	205.1066
126.0561	16.3611	16.6679	1	1	206.5561
44.2391	76.7389	16.7939	1	1	204.7556
188.3915	77.8788	16.6147	1	1	206.2989
38.8843	110.4605	16.1586	1	1	206.0234
222.4740	33.2188	17.1957	1	1	208.5482
188.3970	77.5416	18.6092	1	1	202.7413
38.6882	110.0830	18.2336	1	1	205.4844
9.3337	132.2575	18.5887	1	1	205.2562
72.3117	90.7714	19.6579	1	1	204.0116
64.3355	125.3458	18.7811	1	1	205.5414
145.0326	64.4695	20.0399	1	1	210.4436
105.2329	109.9438	20.2765	1	1	208.8835
9.4184	131.6736	20.2062	1	1	205.6735
145.1528	197.9387	20.1400	1	1	205.2463
73.1201	88.3841	21.1677	1	1	206.7659
145.3385	198.9643	21.9217	1	1	207.6954
45.1078	66.0787	23.4375	1	1	205.9714
10.4917	110.1039	24.3663	1	1	206.7952
