x	y	z	t	c	intensity
124.8915	188.4800	4.2684	1	1	205.3232
113.0018	145.3887	6.3411	1	1	205.7974
125.1406	188.3057	5.9863	1	1	209.8037
222.0294	66.8421	7.7715	1	1	204.7323
48.1189	129.1843	7.9618	1	1	204.1288
131.0164	90.0072	9.6949	1	1	200.3472
112.2005	127.9473	9.0650	1	1	206.4676
247.6131	183.4434	8.8320	1	1	206.8155
48.1366	129.8132	10.1807	1	1	207.5984
50.6952	14.1971	11.0832	1	1	203.4649
172.0062	226.9082	11.0294	1	1	204.2197
233.5713	23.1690	12.6307	1	1	207.6948
245.8414	186.7626	13.1078	1	1	205.4145
172.7537	227.1850	12.5867	1	1	204.5311
237.6439	55.0733	14.2450	1	1	206.4130
125.9752	16.0825	16.9054	1	1	206.9962
44.3761	76.7516	16.6293	1	1	205.3902
188.0362	77.7782	16.7014	1	1	205.3344
237.9842	54.9993	15.5117	1	1	204.4627
38.8843	110.4605	16.1586	1	1	205.3676
222.3891	33.2477	17.2415	1	1	208.1589
247.1993	68.4882	17.2855	1	1	205.2382
9.3577	132.3153	19.1099	1	1	205.4435
72.3485	90.7620	19.9872	1	1	202.2058
145.0250	64.5249	20.1140	1	1	208.8301
105.3047	109.8775	20.2524	1	1	207.7764
9.5515	131.5275	20.3318	1	1	204.7668
145.1528	197.9387	20.1400	1	1	204.3655
73.0933	88.7180	20.9663	1	1	205.5324
45.1169	66.1471	23.3608	1	1	205.2893
10.4917	110.1039	24.3663	1	1	205.6756
